,Country_of_Origin,Farm_Name,Mill,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Owner,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Total_Cup_Points,Moisture_Percentage,Category_One_Defects,Quakers,Color,Category_Two_Defects
90,Ethiopia,aricha coop,aricha coop,the specialty coffee appraisers institute of asia,aricha,BNT,100,60.0,Specialty Coffee Association,Steven Kil,Other,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,8.08,85.08,0.1,2,0.0,green,7
91,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,12,45.3592,Specialty Coffee Association,Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,7.92,85.08,0.11,2,0.0,blue-green,2
92,Colombia,Other,Other,carcafe ltda,cundinamarca,ORLANDO ORTIZ /WILSON ORTIZ/GILBERTO ACOSTA,250,70.0,Almacafé,CARCAFE LTDA CI,Caturra,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,8.08,85.08,0.11,0,0.0,green,8
93,United States (Hawaii),Other,Other,Other,kona,Kona Pacific Farmers Cooperative,13,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Other,Other,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,8.17,85.08,0.11,1,0.0,other,7
94,Ethiopia,Other,Other,Other,sidamo,Exporter Name | Muluneh Kaka | Phone: 0114390290,360,6.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,7.83,85.08,0.11,0,0.0,other,5
95,United States (Hawaii),kona pacific farmers cooperative,kona pacific farmers cooperative,Other,kona,Other,27,0.0,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Other,Other,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,7.92,85.08,0.11,0,0.0,other,0
96,Uganda,mount elgon area,kyagalanyi coffee ltd,kyagalanyi coffee ltd,eastern uganda,Kyagalanyi Coffee Ltd,200,60.0,Uganda Coffee Development Authority,Kyagalanyi Coffee Ltd,SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,8.0,85.0,0.11,0,0.0,green,1
97,Colombia,Other,bachue,racafe & cia s.c.a,huila,La Plata,135,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,7.83,85.0,0.11,0,0.0,green,3
98,Costa Rica,estate la patricia,micro beneficio la cabaña-javier meza,bold coast coffee,tarrazu,Manuel Montero,36,46.0,Specialty Coffee Association,Troy Quimby,Catuai,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,7.92,85.0,0.12,1,1.0,green,1
99,Mexico,various,"cafetal el equimite, rancho agroecológico","cafetal el equimite, rancho agroecológico, s.p.r. de r.l.",veracruz,Varios productores minifundistas,1,30.0,Centro Agroecológico del Café A.C.,"El Equimite, Cafetal Biodinámico",Typica,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,8.08,85.0,0.09,0,0.0,green,3
100,Kenya,Other,ckcm,c dorman ltd,Other,Other,170,60.0,Kenya Coffee Traders Association,SIMON MAHINDA,Other,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,7.83,85.0,0.11,0,5.0,green,7
101,Kenya,machure estate,Other,rashid moledina & co. (msa) ltd,central kenya,Other,38,60.0,Kenya Coffee Traders Association,RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,7.83,85.0,0.11,0,0.0,green,5
102,Brazil,sitío são geraldo,Other,nucoffee,grama valley,Idalina M. De Andrade Ferreira,31,60.0,NUCOFFEE,NUCOFFEE,Mundo Novo,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,8.0,85.0,0.12,0,0.0,green,3
103,Mexico,kassandra,Other,Other,mexico,Finca Kassandra,1,1.0,Specialty Coffee Association,Young Kim,Pacamara,Other,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,7.83,85.0,0.11,0,0.0,other,0
104,United States (Hawaii),kona pacific farmers cooperative,Other,Other,kona,Other,15,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Other,Other,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,7.83,85.0,0.11,0,0.0,other,1
105,Guatemala,la igualdad,concepcion,Other,"chuva, san marcos",Federico Weller,275,69.0,Specialty Coffee Association,Carl Walker,Other,Other,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,8.0,85.0,0.11,0,0.0,other,1
106,Colombia,Other,bachue,racafe & cia s.c.a,huila,La Plata,243,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,7.83,84.92,0.11,1,6.0,other,2
107,Colombia,Other,Other,racafe & cia s.c.a,huila,La Plata,252,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,green,1
108,Taiwan,baishengcun coffee 百勝村咖啡莊園,baishengcun coffee 百勝村咖啡莊園,taiwan coffee laboratory,natou county,SU CHUEN SHIAN 蘇春賢,20,40.0,Specialty Coffee Association,"Lin, Che-Hao Krude 林哲豪",Typica,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,green,0
109,"Tanzania, United Republic Of",hasambo amcos,taylor winch (t) ltd,taylor winch (t) ltd,mbeya,Hasambo AMCOS,134,60.0,Africa Fine Coffee Association,Taylor Winch (T) Ltd,Other,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.83,84.92,0.12,0,0.0,green,2
110,Colombia,Other,Other,racafe & cia s.c.a,huila,LA PLATA,50,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,7.92,84.92,0.11,0,0.0,green,3
111,Mexico,el suspiro,pacho viejo,Other,coatepec,ARTEMIO ZAPATA TEJEDA,25,1.0,AMECAFE,ARTEMIO ZAPATA TEJEDA,Typica,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,8.17,84.92,0.11,0,0.0,other,0
112,Brazil,fazenda grota funda,Other,nucoffee,south of minas,Glaucio Carneiro Pinto,4,60.0,NUCOFFEE,NUCOFFEE,Bourbon,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,7.75,84.92,0.11,0,0.0,green,2
113,Brazil,sitio claro,Other,nucoffee,south of minas,Ricardo Luiz Ferreira,10,60.0,NUCOFFEE,NUCOFFEE,Catuai,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.92,84.92,0.12,0,0.0,green,2
114,Kenya,Other,Other,Other,Other,Other,320,60.0,Specialty Coffee Association,Brian Speckman,Other,Other,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,7.58,84.92,0.11,1,0.0,other,9
115,Taiwan,shi fang yuan 十方源,shi fang yuan 十方源,taiwan coffee laboratory,"dongshan dist., tainan city 臺南市東山區",Wang Chao Yung 王超永,10,20.0,Specialty Coffee Association,"Lin, Che-Hao Krude 林哲豪",Typica,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,8.0,84.83,0.11,0,0.0,green,0
116,Uganda,mt.elgon bugisu shamba 2,kawacom,kawacom uganda ltd,eastern,Sipi organic coffee project,1,60.0,Uganda Coffee Development Authority,Kawacom Uganda LTD,SL14,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,7.83,84.83,0.12,0,0.0,green,1
117,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,14,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,8.08,84.83,0.11,3,0.0,other,15
118,Ethiopia,contact | sidacoop@ethionet.net,coffee processing and warehouse enterpri,Other,sidamo,Sidama Coffee Farmers Coop. Union,300,6.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,8.0,84.83,0.1,0,0.0,other,2
119,Ethiopia,contact | sidacoop@ethionet.net,coffee processing and warehouse enterpri,Other,sidamo,Sidama Coffee Farmers Coop. Union,300,6.0,Ethiopia Commodity Exchange,Philip Schluter,Other,Other,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,7.92,84.83,0.1,0,0.0,other,4
120,Thailand,matsuzawa coffee,matsuzawa coffee,matsuzawa coffee,thailand,Matsuzawa Coffee,50,50.0,Specialty Coffee Institute of Asia,松澤宏樹 Koju Matsuzawa,Caturra,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,8.0,84.75,0.12,0,0.0,green,0
121,Kenya,karatina,sagana,c dorman ltd,nyeri,KARATINA,150,60.0,Kenya Coffee Traders Association,Lydiah Mwangi,SL34,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,7.92,84.75,0.13,0,0.0,green,0
122,Honduras,cerro bueno,cadexsa,cadexsa,marcala,Omar Acosta,275,1.0,Instituto Hondureño del Café,CADEXSA,Catuai,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,8.17,84.75,0.11,0,0.0,green,4
123,El Salvador,several,la majada cooperative,Other,santa ana,Several producers,250,69.0,Specialty Coffee Association,The Coffee Source Inc.,Other,Other,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,7.75,84.75,0.11,0,0.0,other,3
124,Nicaragua,santa martha,beneficio atlantic sebaco,Other,jinotega,Juan Alvaro Munguia,2,6.0,Specialty Coffee Association,Grounds for Health Admin,Other,Other,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,8.5,84.75,0.11,0,0.0,other,2
125,El Salvador,monterrey,j.j. borja nathan,cafetalera del pacifico,apaneca,J.J. Borja Nathan,150,69.0,Salvadoran Coffee Council,Consejo Salvadoreño del Café,Bourbon,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,8.0,84.67,0.11,0,0.0,blue-green,2
126,Indonesia,sran temanggung plantation,wet hulling,pt. shriya artha nusantara,"temanggung, indonesia",PT. Shriya Artha Nusantara,2,1.0,Specialty Coffee Association of Indonesia,SanJava Coffee,Java,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0.0,green,7
127,Other,ada farm,ada farm,matsuzawa coffee,ada okinawa japan,Taijiro TOKUDA,20,1.0,Specialty Coffee Institute of Asia,松澤宏樹 Koju Matsuzawa,Mundo Novo,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,8.08,84.67,0.12,0,0.0,green,0
128,Costa Rica,rio jorco,rio jorco,panamerican coffee trading,tarrazu,Johanna,15,69.0,Specialty Coffee Association of Costa Rica,Rodrigo Soto,Catuai,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,7.92,84.67,0.1,0,0.0,blue-green,2
129,Guatemala,san diego buena vista,san diego buena vista,"waelti schoenfeld exportadores de cafe, s.a.",acatenango,JUAN BOCK,120,34.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,7.83,84.67,0.1,0,0.0,green,1
130,Costa Rica,coopetarrazú,coopetarrazú,coopetarrazú.r.l,tarrazu,Coopetarrazú,50,0.453592,Specialty Coffee Association of Costa Rica,Fabian Calderon Mora,Caturra,Washed / Wet,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,7.92,84.67,0.12,0,0.0,green,0
131,Ethiopia,moplaco,moplaco,essence coffee,yirgacheffe,Moplaco,250,30.0,Blossom Valley International,EssenceCoffee,Other,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.92,84.67,0.1,0,0.0,other,3
132,Costa Rica,finca salaca las brisas,beneficio las brisas,essence coffee,costa rica,Maria Elena Castro,20,69.0,Blossom Valley International,EssenceCoffee,Other,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,7.67,84.67,0.08,0,0.0,green,1
133,Costa Rica,various,coricafe sa,coricafe s.a.,west valley,CORICAFE BLEND,275,1.0,Specialty Coffee Association of Costa Rica,Eric Thormaehlen,Catuai,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,8.0,84.67,0.11,0,0.0,green,4
134,Costa Rica,Other,Other,thrive farmers,Other,Other,1,2.0,Specialty Coffee Association,Rob Tuttle,Other,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,7.92,84.67,0.11,1,0.0,green,10
135,Taiwan,dragon 龍咖啡,dragon coffee 龍咖,blossom valley宸嶧國際,taichung xinshe 台中市新社區,Gu yong long 古永龍,10,30.0,Blossom Valley International,CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,84.67,0.11,0,0.0,green,0
136,Colombia,Other,trilladora agricola,ecom cca sa,santander,Other,250,70.0,Almacafé,Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,7.92,84.67,0.11,0,0.0,green,0
137,Kenya,Other,Other,dream together inc.,nyeri,Sasini,235,60.0,Specialty Coffee Institute of Asia,Dream Together,SL28,Washed / Wet,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,7.83,84.67,0.11,0,0.0,blue-green,0
138,Guatemala,agropecuaria quiagral,beneficio ixchel,"unex guatemala, s.a.",oriente,AGROPECUARIA QUIAGRAL,250,1.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,7.67,84.67,0.11,0,0.0,green,4
139,Guatemala,valparaiso,beneficio valparaiso,sertrasa,acatenango,SERTRASA,125,1.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,8.0,84.67,0.12,0,0.0,green,4
140,Mexico,"el nogal, la higuera, los laureles",cafetaleros de el remudadero s.p.r. de r.l.,organizaciones de productores de cafe colimense sa de cv,el remudadero,"JORGE TORRES BELTRAN, VICENTE HERNANDEZ OCHOA, IGNACIO TORRES",80,1.0,AMECAFE,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Typica,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,7.92,84.67,0.13,0,0.0,other,3
141,Uganda,Other,ugacof,ugacof ltd,mbale,Other,320,60.0,Africa Fine Coffee Association,AFCA,Other,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,7.83,84.67,0.11,0,0.0,blue-green,3
142,Peru,Other,Other,Other,"penachi, cecanor",CECANOR,1,60.0,Specialty Coffee Association,Benjamin Schmerler,Other,Other,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,7.92,84.67,0.11,0,0.0,other,3
143,Ethiopia,contact | sidacoop@ethionet.net,coffee processing and warehouse enterpri,Other,sidamo,Sidama Coffee Farmers Coop. Union,300,6.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,10.0,7.83,84.67,0.11,0,0.0,other,3
144,Kenya,jungle estate,nkg mills,keremara limited,nyeri,JUNGLE ESTATE,66,60.0,Kenya Coffee Traders Association,Jungle Estate,SL34,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,7.83,84.58,0.11,0,0.0,blue-green,5
145,Colombia,Other,bucaramanga,racafe & cia s.c.a,santander,Other,250,70.0,Almacafé,Racafe & Cia S.C.A,Other,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,8.08,84.58,0.11,0,0.0,blue-green,4
146,Colombia,Other,bachue,racafe & cia s.c.a,huila,La Plata,125,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.11,0,1.0,green,5
147,Kenya,blend,sagana,c dorman ltd,nyeri,BLEND,100,60.0,Kenya Coffee Traders Association,Daniel Magu,Peaberry,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,7.92,84.58,0.1,0,0.0,blue-green,2
148,Guatemala,el morito,el morito,"armajaro guatemala, s. a.",jalapa,ROBERTO MONTERROSO,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Pacas,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.83,84.58,0.11,0,0.0,green,1
149,Guatemala,el papaturro,beneficio ixchel,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,8.17,84.58,0.09,0,0.0,green,0
150,Colombia,Other,trilladora agricola,ecom cca sa,santander,Other,250,70.0,Almacafé,Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,7.83,84.58,0.11,0,0.0,other,0
151,Colombia,Other,Other,racafe & cia s.c.a,huila,La Plata,75,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,7.92,84.58,0.11,0,0.0,other,5
152,Kenya,Other,Other,taylor winch (coffee) ltd,Other,changeru wet mill,11,660.0,Kenya Coffee Traders Association,Taylor Winch (Coffee) Ltd.,SL28,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,7.75,84.58,0.11,0,0.0,green,0
153,Colombia,Other,trilladora boananza,exportadora de cafe condor s.a,huila,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,7.75,84.58,0.11,0,0.0,green,2
154,Costa Rica,la chaparral,Other,lusso coffee lab,tres rios,Other,1,1.0,Specialty Coffee Association,LUSSO LAB,Bourbon,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,7.75,84.58,0.12,0,0.0,blue-green,2
155,Colombia,various,trilladora boananza,exportadora de cafe condor s.a,huila,varios,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,8.08,84.58,0.11,0,0.0,green,6
156,Brazil,fazenda recreio,Other,nucoffee,vale da grama,Homero Texeira de Macedo Junior,37,60.0,NUCOFFEE,NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,7.75,84.58,0.12,0,0.0,green,2
157,Brazil,fazenda vista alegre,Other,nucoffee,mountains of minas gerais,Geraldo Paixão,35,60.0,NUCOFFEE,NUCOFFEE,Catuai,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,7.5,84.58,0.11,0,0.0,blue-green,1
158,Costa Rica,Other,beneficio santo domingo - beneficio dosmil,beneficios volcafé costa rica,valle central,Various,275,18975.0,Specialty Coffee Association of Costa Rica,Max Gurdian,Caturra,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,8.0,84.5,0.1,0,0.0,blue-green,2
159,Uganda,kawacom sipi project,kawacom,kawacom uganda ltd,eastern uganda,Kawacom Uganda Ltd,200,12000.0,Uganda Coffee Development Authority,ECOM Japan Limited,SL14,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,7.83,84.5,0.11,0,0.0,green,1
160,China,menglian ban’an coffee processing factory,menglian ban’an coffee processing factory,yunnan coffee exchange,yunnan,Menglian Ban’an Coffee Processing Factory,3,60.0,Yunnan Coffee Exchange,Yunnan Coffee Exchange,Catimor,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,7.92,84.5,0.1,0,0.0,green,1
161,Costa Rica,coopetarrazú,coopetarrazú,coopetarrazú.r.l,tarrazu,Coopetarrazú,250,0.453592,Specialty Coffee Association of Costa Rica,Fabian Calderon Mora,Caturra,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,7.92,84.5,0.11,0,0.0,green,0
162,Colombia,Other,cauca,federacion nacional de cafeteros,cauca,Other,275,2.0,Almacafé,Federacion Nacional de Cafeteros,Other,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,7.75,84.5,0.12,1,0.0,green,0
163,China,"puer jiangcheng fuwang coffee biotechnology co., ltd","puer jiangcheng fuwang coffee biotechnology co., ltd","puer jiangcheng fuwang coffee biotechnology co., ltd",yunnan,"PUER JIANGCHENG FUWANG COFFEE BIOTECHNOLOGY CO., LTD",1,2.0,Specialty Coffee Association,Eric Wu,Other,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,7.92,84.5,0.11,0,0.0,green,2
164,Guatemala,el sacramento,beneficio ixchel,"unex guatemala, s.a.",oriente,LUIS RODRIGUEZ,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,7.5,84.5,0.11,0,0.0,green,2
165,Kenya,rumukia farmers,sasini,dream together co. ltd,nyeri,Other,235,60.0,Specialty Coffee Institute of Asia,Dream Together,SL28,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,7.67,84.5,0.11,0,0.0,blue-green,0
166,Mexico,la barranca,hustusco,Other,hustusco,MARIA IMELDA USCANGA MARTINEZ,56,1.0,AMECAFE,MARIA IMELDA USCANGA MARTINEZ,Typica,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,7.92,84.5,0.12,0,0.0,green,0
167,Mexico,finca el retiro,agroindustrias unidas de mexico,ecomtrading,jaltenango,SANTIAGO JOSE ARGUELLO CAMPOS,250,1.0,AMECAFE,ALFREDO BOJALIL,Typica,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.67,84.5,0.11,0,0.0,other,4
168,Guatemala,nueva granada,beneficio nueva granada,"transcafe, s.a","el tumbador, san marcos","AGRICOLA NUEVA GRANADA, S.A",250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,7.83,84.5,0.11,0,0.0,green,2
169,Brazil,Other,mmm,Other,mmm,mmm,27,60.0,NUCOFFEE,Daniel Friedlander,Other,Other,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,8.13,84.5,0.11,0,0.0,other,4
170,Brazil,Other,Other,Other,test,Other,320,60.0,NUCOFFEE,Alexandra Katona-Carroll,Other,Other,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,84.5,0.11,2,0.0,other,0
171,Costa Rica,several farmers,beneficio san diego,beneficios volcafé costa rica,tarrazu,Beneficio San Diego,275,69.0,Specialty Coffee Association of Costa Rica,Max Gurdian,Caturra,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,7.92,84.42,0.1,0,0.0,blue-green,3
172,Indonesia,darmawi,dry mill,pt. olam indonesia,sumatra brastagi,Surbakti,200,30.0,Specialty Coffee Association,Aulia Arif Syahri,Other,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,8.0,84.42,0.11,0,0.0,blue-green,3
173,Colombia,Other,neiva,carcafe ltda,pitalito,FRANKLIN DUSSAN,304,35.0,Almacafé,CARCAFE LTDA CI,Caturra,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,7.67,84.42,0.11,0,0.0,green,1
174,Colombia,Other,Other,racafe & cia s.c.a,huila,La Plata,275,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,7.75,84.42,0.11,0,0.0,green,3
175,Taiwan,tropica galliard,tropica galliard,tropica galliard,"mountain ali, taiwan",Kao Ming Lee,2,2.0,Specialty Coffee Association,Kao Ming Lee,Typica,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,7.75,84.42,0.11,0,0.0,blue-green,0
176,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,5,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,7.83,84.42,0.11,0,0.0,blue-green,1
177,Mexico,finca la chiripa,finca hamburgo,finca hamburgo,tapachula,MARIA AMALIA GUADALUPE TORIELLO ELORZA,69,1.0,AMECAFE,MARIA AMALIA GUADALUPE TORIELLO ELORZA,Pacamara,Washed / Wet,7.75,7.92,7.75,7.67,7.83,7.67,10.0,10.0,10.0,7.83,84.42,0.12,2,0.0,other,4
178,Ethiopia,phone number | 0911-513824 email: gmt.ft,Other,Other,limu,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",360,6.0,Ethiopia Commodity Exchange,Ethiopia Commodity Exchange,Other,Other,7.5,7.75,7.83,7.92,7.92,7.75,10.0,10.0,10.0,7.75,84.42,0.11,0,0.0,other,2
179,Kenya,kigwandi,central kenya coffee mills,c dorman ltd,nyeri,mutheka,150,60.0,Kenya Coffee Traders Association,Lydiah Mwangi,SL28,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,8.17,84.33,0.11,0,0.0,green,4
180,Honduras,las cuchillas,cigrah s.a de c.v.,cigrah s.a de c.v,comayagua,Nahun Maldonado,275,66.0,Instituto Hondureño del Café,Bismarck Castro,Caturra,Other,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.58,84.33,0.1,0,0.0,green,3
181,Colombia,Other,san josé / neiva,skn caribecafe ltda,huila,Other,275,70.0,Almacafé,Raúl Vargas,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,7.5,84.33,0.11,0,3.0,green,5
